Date,Open,High,Low,Close,Adj Close,Volume,pct_change,log_change,7ma,14ma,21ma,7macd,14macd,7rsi,14rsi,21rsi,7atr,14atr,21atr,7upper,7lower,14upper,14lower,21upper,21lower,7rsv,14rsv,21rsv,AAPL,MTK,GUC,Xintec,Qualcomm,SamSung,Broadcom,VIX,USD,CNY,CCY,HKD,JPY,TWIndex,PLIX,S&P500,Japan225,KoreanIndex,NASDQ,dealer_buy,dealer_sell,dealer_dif,investment_buy,investment_sell,investment_dif,foreign_buy,foreign_sell,foreign_dif,FT_3components,FT_6components,FT_9components,FT_27components,FT_81components,FT_100components
2010-02-10,51.95000076293945,52.25,51.70000076293945,52.099998474121094,37.86882019042969,11219,0.010556607546423256,0.010612723808838332,51.94324122339746,52.70859544242381,53.26362781650063,1.048469400327589,1.1884430280551086,-749.9923706830789,-88.31157636078095,-80.90903542258522,0.7642860412597656,0.9035718100411552,0.8380958920433408,53.32476527466315,50.21809012433239,54.862340465589625,50.323373711133314,58.68400917893264,49.40170525210344,67.49992370605469,36.98624410289854,19.14891659880473,6.97,507.84,142.0,28.43,37.43,15100.0,16.8,25.4,32.06,0.15,0.67,7.77,0.09,7441.84,323.4,1068.13,9963.99,1570.12,2147.87,3161497580.0,2968407011.0,193090569.0,3102476560.0,1648311871.0,1454164689.0,15513803410.0,25495641620.0,-9981838210.0,96.35891982455746,98.34108280489028,94.15768178697394,97.50451489876394,95.29038850118098,94.81609402815965
2010-02-22,53.04999923706055,53.150001525878906,52.599998474121094,52.599998474121094,38.232242584228516,11187,0.009505703697805186,0.009551171262741274,52.107469640417,52.693883910413874,53.19923883283144,0.8489377224016268,1.1753467119260366,366.6666666666667,-216.66617216971127,-119.27699104143952,0.6500004359654018,0.8821432931082589,0.842857905796596,53.555727963824744,50.201413149456506,54.48282670668893,50.44574417692575,58.35377571577282,49.33670047470337,92.49992370605469,53.62313231910323,26.241115947871208,7.16,518.63,141.0,28.43,39.01,15460.0,17.35,19.94,32.0,0.15,0.68,7.76,0.09,7560.04,342.55,1108.01,10400.47,1627.1,2242.03,3133892869.0,2444166818.0,689726051.0,2130761100.0,1359109401.0,771651699.0,28467489316.0,25036187231.0,3431302085.0,96.24219542092365,98.00204906710161,93.59732527090016,95.92937277471535,90.41447063457669,88.71265961120248
2010-02-23,52.599998474121094,52.75,52.20000076293945,52.599998474121094,38.232242584228516,9571,0.0,0.0,52.23062384197775,52.681192442029264,53.14145068121814,0.6534863497688951,1.139588816624549,-1233.319770103252,-243.74950826238404,-87.62874597195687,0.6214288984026227,0.8750002724783761,0.8309531438918341,53.485461978769656,50.228821555689045,54.109807806097685,50.59019132197151,57.834966713779004,49.39360449680972,100.0,56.0605727827067,26.241115947871208,7.04,523.53,143.5,28.43,38.54,15340.0,17.38,21.37,32.06,0.15,0.67,7.76,0.09,7597.44,332.87,1094.6,10352.1,1628.9,2213.44,2000150200.0,2287498353.0,-287348153.0,2263043520.0,2650742656.0,-387699136.0,24222177202.0,23608596621.0,613580581.0,96.12514046111716,97.66273094367628,93.03782964863684,94.35236054054941,85.60413754797314,82.7412714995874
2010-02-24,52.150001525878906,52.54999923706055,52.150001525878906,52.25,37.97785568237305,11026,-0.006698535389877393,-0.006676199889638684,52.23546853036425,52.62301114968898,53.05595552500098,0.5155441829306298,1.0965320406198118,-616.6677263074906,-557.1419229322998,-70.27023869010839,0.6071428571428571,0.7750001634870257,0.8214291163853237,53.371754713183044,50.25681475354407,54.02582192722707,50.57417709185077,57.14328442476974,49.55671542990846,81.08114795676397,45.45455596335578,22.22222222222222,7.17,517.65,146.5,28.43,37.87,15040.0,17.74,20.27,32.02,0.15,0.67,7.76,0.09,7529.67,339.27,1105.24,10198.83,1612.83,2235.9,2043898760.0,1998239251.0,45659509.0,2258613250.0,1775532693.0,483080557.0,20276385689.0,25468455332.0,-5192069643.0,96.00775723190716,97.3231531837085,92.47927549986149,92.77524604767282,80.90760696087868,76.99429606197228
2010-02-25,52.25,52.29999923706055,51.349998474121094,51.650001525878906,37.5417366027832,20361,-0.011616620646573811,-0.0115496657366033,52.089087074870626,52.49193128326315,52.92178697508562,0.46349665442823706,1.0609896565808066,205.55503751112616,-311.99981689453114,-66.66664493049424,0.6285716465541294,0.8000003269740513,0.8476195562453497,53.21227656450739,50.673436195327994,53.93215260516029,50.48927498534612,56.4175573300722,49.72529981278494,45.71446010044643,27.272779816778893,15.000025431315104,7.21,497.06,143.0,28.43,37.18,14720.0,18.09,20.1,32.04,0.15,0.67,7.76,0.09,7426.96,338.39,1102.94,10101.96,1587.51,2234.22,1728179056.0,3572176638.0,-1843997582.0,1801497370.0,2286138110.0,-484640740.0,22592376905.0,31438203724.0,-8845826819.0,95.89004802866447,96.98334052173756,91.92174306118679,91.1997989610286,76.3711938849176,71.55789481266476
2010-02-26,51.650001525878906,51.75,51.20000076293945,51.54999923706055,37.469058990478516,9375,-0.001939908638184136,-0.0019380294453377519,51.9543049610254,52.365213256671815,52.79146788035412,0.4477814379709588,1.0308782673810157,249.99972752192085,-110.0,-74.99994498033598,0.6357143947056362,0.7607143947056362,0.8166671026320684,52.97635870722792,51.10935427059016,53.41756502836152,50.64671970500204,55.77264411783825,49.8749748571199,0.0,35.55552164713542,14.159274708091344,7.31,495.1,141.5,28.43,36.68,14880.0,18.15,19.5,31.98,0.15,0.67,7.76,0.09,7436.1,338.86,1104.49,10126.03,1594.58,2238.26,1756674833.0,1747134390.0,9540443.0,1924798840.0,2214147572.0,-289348732.0,18290830459.0,19784881500.0,-1494051041.0,95.77201515529299,96.64331767504432,91.36531220853283,89.62778713647073,72.03847938754167,66.50966112794697
2010-03-01,51.5,52.95000076293945,51.5,52.79999923706055,38.377620697021484,13623,0.023674242766326018,0.0239589805996253,52.165740477090075,52.423635066586996,52.792275053002406,0.33328294417282467,0.9765469610627574,183.99993896484375,-1999.992370634568,-143.05540102509326,0.7142857142857143,0.7892859322684151,0.8452384585425967,53.192435013944035,51.2504208210169,53.363851849088874,50.67186134671191,55.10482457508555,50.199937039032754,100.0,100.0,39.42305646704799,7.46,507.84,143.0,28.43,35.56,14880.0,18.3,19.26,31.98,0.15,0.68,7.76,0.09,7577.75,349.48,1115.71,10172.06,1594.58,2273.57,3534156549.0,1804885651.0,1729270898.0,2731066240.0,2079573268.0,651492972.0,27389310037.0,20386449753.0,7002860284.0,95.65366092416092,96.30310934095277,90.81006243960232,88.0609729992413,67.94953514850128,61.91654087590293
2010-03-02,52.75,53.099998474121094,52.54999923706055,52.650001525878906,38.26859664916992,9987,-0.002848959294102065,-0.0028449087010650586,52.28681087005285,52.45402025609957,52.77886387111713,0.21732796222508113,0.9115132946870135,318.1800527118879,1600.0000000000002,-156.06057278270669,0.7142857142857143,0.7392858777727399,0.8404764447893415,53.31324461419343,51.286754949841175,53.40988690541344,50.661540576101636,54.42808765838507,50.56238831410842,88.00018310546875,92.68303575582206,52.05481456398551,7.46,505.88,143.0,28.43,37.93,15400.0,18.72,19.06,31.97,0.15,0.68,7.76,0.09,7597.62,349.39,1118.31,10221.84,1615.12,2280.79,2819078867.0,2172144054.0,646934813.0,3550348860.0,2316570567.0,1233778293.0,21141209576.0,17047409473.0,4093800103.0,95.53498765603148,95.96274019413524,90.25607285646156,86.5011099325397,64.14022057389072,57.83310443583289
2010-03-03,52.70000076293945,53.099998474121094,52.5,52.650001525878906,38.26859664916992,8747,0.0,0.0,52.37761141999364,52.48030326959465,52.76675748060101,0.12055339292980964,0.8414587171339507,2499.84742142204,499.99809265864315,-294.2855834960937,0.7214279174804688,0.6857141767229352,0.8285715012323289,53.3309081698892,51.28337798036192,53.499903730982666,50.68580990078351,54.13988228895968,50.683927016867145,88.00018310546875,92.68303575582206,55.072495817655295,7.48,514.71,141.0,28.43,38.69,15420.0,18.91,18.83,31.93,0.15,0.68,7.76,0.09,7629.52,346.37,1118.79,10253.14,1622.44,2280.68,2211044669.0,1692801093.0,518243576.0,3200803160.0,2906248376.0,294554784.0,15730828669.0,12403435399.0,3327393270.0,95.41599767999351,95.62223488392327,89.70342214823374,84.94993868515628,60.64156756508672,54.300224923355564
2010-03-04,52.75,52.900001525878906,51.79999923706055,52.20000076293945,37.941505432128906,8138,-0.008620704144873138,-0.00858375805724848,52.33320769724163,52.44274111654836,52.71367301615521,0.08490532375558912,0.7796829421545821,-312.5017881495752,-563.6368680598423,-257.4998855590819,0.7999997820172992,0.7107143402099609,0.8500001089913505,53.241632453461015,51.258368636452495,53.41143417141632,50.69570814076978,53.83894596191095,50.794387153439686,52.00012207031251,70.73177085756286,43.9394272172933,7.53,503.92,142.0,28.43,39.25,15220.0,19.06,18.72,31.92,0.15,0.68,7.76,0.09,7569.8,346.55,1122.97,10145.72,1618.2,2292.31,2247034172.0,2965663790.0,-718629618.0,3482705180.0,2761080945.0,721624235.0,15981851954.0,20023843169.0,-4041991215.0,95.2966933333918,95.28161803162395,89.15218857390819,83.40918380709678,57.479266014112966,51.34420285593922
2010-03-05,52.849998474121094,53.20000076293945,52.5,52.95000076293945,38.48664474487305,13596,0.01416430574491959,0.014265576951801305,52.4874087205296,52.51067115710358,52.735747515488846,0.011544496704696771,0.7085276083436818,285.7139743107668,962.4959468996158,-inf,0.8428573608398438,0.7250001089913505,0.7976192292712984,53.473981945468935,51.226019362427266,53.500488473247735,50.66379691406393,53.83894596191095,50.794387153439686,100.0,100.0,66.66670519897119,7.82,499.02,142.5,28.43,38.76,15500.0,19.36,17.42,31.84,0.15,0.68,7.76,0.09,7666.26,351.53,1138.7,10368.96,1634.57,2326.35,2853449163.0,2131475173.0,721973990.0,2638308490.0,2280762663.0,357545827.0,24048795033.0,13154620805.0,10894174228.0,95.1770769617569,94.9409142278413,88.60244994526953,81.88055012205595,54.67326076286681,48.976361540549085
2010-03-08,53.29999923706055,53.650001525878906,53.25,53.650001525878906,38.99543762207031,16956,0.013047544138499175,0.013133411061973492,52.778060819157034,52.66315659784397,52.82093187291614,-0.11686375886214498,0.6194376166350746,135.00003814697266,156.8964428624421,879.9997965494795,0.7642860412597656,0.6964288439069476,0.7880955650692895,53.93278235806642,51.33864752125835,53.716591102033206,50.86198021754687,53.96467049855828,50.74009118822093,100.0,100.0,87.8788544345866,7.82,517.65,144.0,28.43,38.79,15720.0,19.31,17.79,31.86,0.15,0.69,7.76,0.09,7762.27,351.21,1138.5,10585.92,1660.04,2332.21,3468835440.0,1988062453.0,1480772987.0,2793812400.0,2194436811.0,599375589.0,26213654567.0,11460036328.0,14753618239.0,95.05715091873503,94.60014802980429,88.05428360995222,80.36571924550628,52.23746817893026,47.19312074010857
2010-03-09,53.70000076293945,53.79999923706055,53.54999923706055,53.79999923706055,39.104461669921875,7760,0.002788061585664736,0.0027919554686418385,53.03354799296143,52.81523237314727,52.91194901412489,-0.24577515991664547,0.5203089325965186,126.66659884982639,155.93211133740664,-2239.9993896484343,0.7214290073939732,0.6785717010498047,0.7476192656017485,54.105226227160216,51.80906079502171,53.8823061141632,51.1176938858368,53.90304475348027,50.7779074094894,100.0,100.0,100.0,7.97,521.57,141.0,28.43,38.68,15720.0,19.35,17.92,31.78,0.15,0.68,7.76,0.09,7770.59,350.47,1140.45,10567.65,1660.83,2340.68,2126283016.0,1580832636.0,545450380.0,2964421550.0,2481081111.0,483340439.0,20155559320.0,10655578412.0,9499980908.0,94.93691756601743,94.25934395870114,87.50776643462412,78.86634615705066,50.179617729273005,45.97653930511526
